NOM,NOM_ALPHA,CODE,ARTICLE,NOM_LONG,CAPITALE,longitude,latitude
Lituanie,Lituanie,LTU,la,République de Lituanie,Vilnius,23.881275,55.169438
Luxembourg,Luxembourg,LUX,le,Grand-Duché de Luxembourg,Luxembourg,6.129583,49.815273
Macédoine du Nord,Macédoine du Nord,MKD,l',République de Macédoine du Nord,Skopje,21.745275,41.608635
Madagascar,Madagascar,MDG,,République de Madagascar,Antananarivo (Tananarive),46.869107,-18.766947
Malaisie,Malaisie,MYS,la,Malaisie,Kuala Lumpur,101.975766,4.210484
Malawi,Malawi,MWI,le,République du Malawi,Lilongwé,34.301525,-13.254308
Maldives,Maldives,MDV,les,République des Maldives,Malé,73.22068,3.202778
Mali,Mali,MLI,le,République du Mali,Bamako,-3.996166,17.570692
Malte,Malte,MLT,,République de Malte,La Valette,14.375416,35.937496
Maroc,Maroc,MAR,le,Royaume du Maroc,Rabat,-7.09262,31.791702
Îles Marshall,Marshall (Îles),MHL,les,République des Îles Marshall,Delap-Uliga-Darrit,171.184478,7.131474
Maurice,Maurice,MUS,,République de Maurice,Port-Louis,57.552152,-20.348404
Mauritanie,Mauritanie,MRT,la,République islamique de Mauritanie,Nouakchott,-10.940835,21.00789
Mexique,Mexique,MEX,le,États-Unis du Mexique,Mexico,-102.552784,23.634501
Micronésie,Micronésie,FSM,la,États fédérés de Micronésie,Palikir,150.550812,7.425554
Moldavie,Moldavie,MDA,la,République de Moldavie,Chisinau,28.369885,47.411631
Monaco,Monaco,MCO,,Principauté de Monaco,Monaco,7.412841,43.750298
Mongolie,Mongolie,MNG,la,Mongolie,Oulan-Bator,103.846656,46.862496
Monténégro,Monténégro,MNE,le,Monténégro,Podgorica,19.37439,42.708678
Mozambique,Mozambique,MOZ,le,République du Mozambique,Maputo,35.529562,-18.665695
Namibie,Namibie,NAM,la,République de Namibie,Windhoek,18.49041,-22.95764
Nauru,Nauru,NRU,,République de Nauru,Yaren,166.931503,-0.522778
Népal,Népal,NPL,le,République démocratique fédérale du Népal,Katmandou,84.124008,28.394857
Nicaragua,Nicaragua,NIC,le,République du Nicaragua,Managua,-85.207229,12.865416
Niger,Niger,NER,le,République du Niger,Niamey,8.081666,17.607789
Nigéria,Nigéria,NGA,le,République fédérale du Nigéria,Abuja,8.675277,9.081999
Niue,Niue,NIU,,Niue,Alofi,-169.867233,-19.054445
Norvège,Norvège,NOR,la,Royaume de Norvège,Oslo,8.468946,60.472024
Nouvelle-Zélande,Nouvelle-Zélande,NZL,la,Nouvelle-Zélande,Wellington,174.885971,-40.900557
Oman,Oman,OMN,,Sultanat d'Oman,Mascate,55.923255,21.512583
Ouganda,Ouganda,UGA,l',République d'Ouganda,Kampala,32.290275,1.373333
Ouzbékistan,Ouzbékistan,UZB,l',République d'Ouzbékistan,Tachkent,64.585262,41.377491
Pakistan,Pakistan,PAK,le,République islamique du Pakistan,Islamabad,69.345116,30.375321
Palaos,Palaos,PLW,les,République des Palaos,Melekeok,134.58252,7.51498
Panama,Panama,PAN,le,République du Panama,Panama,-80.782127,8.537981
Papouasie-Nouvelle-Guinée,Papouasie-Nouvelle-Guinée,PNG,la,État indépendant de Papouasie-Nouvelle-Guinée,Port Moresby,143.95555,-6.314993
Paraguay,Paraguay,PRY,le,République du Paraguay,Assomption (Asuncion),-58.443832,-23.442503
Pays-Bas,Pays-Bas,NLD,les,Royaume des Pays-Bas,Amsterdam,5.291266,52.132633
Pérou,Pérou,PER,le,République du Pérou,Lima,-75.015152,-9.189967
Philippines,Philippines,PHL,les,République des Philippines,Manille,121.774017,12.879721
Pologne,Pologne,POL,la,République de Pologne,Varsovie,19.145136,51.919438
Portugal,Portugal,PRT,le,République portugaise,Lisbonne,-8.224454,39.399872
Qatar,Qatar,QAT,le,État du Qatar,Doha,51.183884,25.354826
Roumanie,Roumanie,ROU,la,Roumanie,Bucarest,24.96676,45.943161
